,Unnamed: 0,Unnamed: 0.1,Building,ClientMacAddr,Level,lat,lng,localtime,datetime,waiting_time
58762,49899,182249,TPS2,c0:8c:71:b5:3c:d6,Level 3,-22.81427426,-43.24727467,43:38.8,43:38.8,0.2362
58771,50025,182709,TPS2,da:a1:19:d9:6a:4f,Level 3,-22.81419802,-43.247228,44:05.7,44:05.7,4.476083333
58773,50101,182981,TPS2,34:2d:0d:f6:c7:ad,Level 3,-22.81450643,-43.24718548,44:20.7,44:20.7,0.198516667
58779,50193,183309,TPS2,dc:74:a8:c1:19:fe,Level 3,-22.81433798,-43.24734731,44:40.6,44:40.6,0.000183333
58790,50299,183637,TPS2,44:91:60:86:b5:0a,Level 3,-22.81422034,-43.24714565,44:57.9,44:57.9,0
58804,50639,184897,TPS2,a0:c9:a0:ae:76:37,Level 3,-22.81418924,-43.24746215,46:11.5,46:11.5,25.17943333
58808,50683,185021,TPS2,08:c5:e1:e7:c5:d5,Level 3,-22.8142542,-43.24744685,46:18.7,46:18.7,99.2873
58824,50904,185809,TPS2,cc:61:e5:74:0c:f9,Level 3,-22.81443657,-43.24720721,47:00.2,47:00.2,106.4856333
58856,51297,187143,TPS2,58:d9:c3:99:eb:7d,Level 3,-22.81448828,-43.24720362,48:07.7,48:07.7,0
58882,51742,188691,TPS2,48:60:5f:0c:29:4e,Level 3,-22.81449069,-43.24722062,49:39.1,49:39.1,89.94688333
58887,51810,188915,TPS2,28:83:35:e6:eb:55,Level 3,-22.81427196,-43.24729746,49:52.5,49:52.5,0
58888,51826,188985,TPS2,4c:66:41:2b:fc:f2,Level 3,-22.81433426,-43.24731039,49:54.9,49:54.9,2.6445
58894,51917,189295,TPS2,80:58:f8:33:57:68,Level 3,-22.81435032,-43.2472201,50:11.0,50:11.0,6.67E-05
58896,51920,189299,TPS2,48:60:5f:72:59:69,Level 3,-22.81449747,-43.24723934,50:11.1,50:11.1,0
58902,51959,189407,TPS2,70:3c:69:b6:37:9a,Level 3,-22.8143917,-43.247314,50:17.7,50:17.7,45.82305
58904,51972,189457,TPS2,a8:16:d0:9a:6f:7d,Level 3,-22.81444762,-43.24711927,50:19.9,50:19.9,3.259933333
58929,52401,190837,TPS2,70:3a:51:8f:8a:7f,Level 3,-22.81441728,-43.24719645,51:32.9,51:32.9,127.63775
58932,52441,190957,TPS2,48:49:c7:58:b4:28,Level 3,-22.81446122,-43.24714456,51:40.9,51:40.9,44.46905
58937,52518,191193,TPS2,c0:9a:d0:2d:aa:e3,Level 3,-22.81426592,-43.24748092,51:52.8,51:52.8,25.13618333
58938,52531,191241,TPS2,dc:bf:e9:0b:0a:ed,Level 3,-22.8142399,-43.24730452,51:55.4,51:55.4,7.412916667
58958,52808,192129,TPS2,58:d9:c3:8b:22:1b,Level 3,-22.81426928,-43.24717438,52:41.8,52:41.8,0.61255
58989,53471,194205,TPS2,b8:5a:73:9d:bd:28,Level 3,-22.81425488,-43.24730342,54:23.1,54:23.1,1.3196
58995,53673,194849,TPS2,00:57:c1:ec:bd:b6,Level 3,-22.81445974,-43.24715198,54:53.2,54:53.2,82.34383333
58999,53810,195313,TPS2,38:9a:f6:84:ff:99,Level 3,-22.81425547,-43.2473017,55:17.4,55:17.4,4.2774
59001,53813,195319,TPS2,04:d6:aa:13:f7:e5,Level 3,-22.81440149,-43.24750554,55:17.7,55:17.7,2.245466667
59003,53869,195489,TPS2,f0:d1:a9:e1:23:0d,Level 3,-22.81438331,-43.24756081,55:26.0,55:26.0,5.8558
59004,53884,195543,TPS2,04:4b:ed:00:fd:a4,Level 3,-22.81419712,-43.24720403,55:27.2,55:27.2,64.58448333
59020,54331,197059,TPS2,b0:79:94:14:4a:ef,Level 3,-22.81451224,-43.24736377,56:40.4,56:40.4,100.38365
59021,54344,197107,TPS2,bc:ff:eb:60:f9:5f,Level 3,-22.81425225,-43.24730351,56:42.3,56:42.3,0
59022,54481,197573,TPS2,70:fd:46:a0:13:22,Level 3,-22.8144234,-43.24724051,57:05.7,57:05.7,0.000133333
59025,54505,197637,TPS2,e8:8d:28:f0:41:bd,Level 3,-22.81451328,-43.24751396,57:09.5,57:09.5,34.68548333
59031,54643,198015,TPS2,40:83:1d:24:47:0d,Level 3,-22.81426593,-43.24729626,57:28.9,57:28.9,19.72893333
59033,54674,198145,TPS2,a8:16:d0:0f:89:d7,Level 3,-22.8144635,-43.24720851,57:36.7,57:36.7,4.909866667
59034,54738,198351,TPS2,60:1d:91:82:82:b9,Level 3,-22.81415559,-43.2472394,57:47.9,57:47.9,67.29096667
59043,54962,199085,TPS2,1c:15:1f:12:0c:c8,Level 3,-22.8143494,-43.24716606,58:26.6,58:26.6,0
59058,55228,199894,TPS2,1c:36:bb:8f:22:c4,Level 3,-22.81437422,-43.24747522,59:13.0,59:13.0,0
59067,55361,200311,TPS2,04:d6:aa:9f:e2:b1,Level 3,-22.81434369,-43.24712763,59:36.2,59:36.2,15.27448333
59069,55428,200511,TPS2,0c:cb:85:8c:0e:0c,Level 3,-22.81429784,-43.24724714,59:47.6,59:47.6,101.9835
59071,55552,200897,TPS2,fc:64:3a:44:fd:a8,Level 3,-22.81447997,-43.24720708,00:05.6,00:05.6,73.74068333
59081,55700,201337,TPS2,24:46:c8:b9:d5:31,Level 3,-22.81425393,-43.2473053,00:31.6,00:31.6,3.384983333
